#z		error_z	alpha	pos_e	neg_e	upper_z	lower_z	upper 	lower
8		0		-1.91	0.32	0.09	8		8		-2		-1.59
8		0		-1.67	0.4		0.4		8		8		-2.07	-1.27
2.3		0.4		-1.73	0.07	0.07	2.7		1.9		-1.8	-1.66
3.05	0.35	-1.73	0.13	0.13	3.4		2.7		-1.86	-1.6
7		0.5		-1.72	0		0		7.5		6.5		-1.72	-1.72
5		0.3		-1.66	0.06	0.06	5.3		4.7		-1.72	-1.6
6 		0.3 	-1.71 	0.11 	0.11 	6.3 	5.7 	-1.82 	-1.6
3.8		0		-1.76	0.05	0.05	3.8		3.8		-1.81	-1.71
5		0		-1.69	0.09	0.09	5		5		-1.78	-1.6
6.8		0		-1.8955	0.1045	0.1045	6.8		6.8		-1.8955	-1.791
3.8		0		-1.73	0.05	0.05	3.8		3.8		-1.78	-1.68
5		0		-1.66	0.09	0.09	5		5		-1.75	-1.57
5.9		0		-1.77	0.16	0.16	5.9		5.9		-1.93	-1.61
5.9 	0 		-1.77 	0.16 	0.16 	5.9 	5.9 	-1.93 	-1.61
