#z	    M*	           upper	   lower

0	-21.64204	-21.82641	-21.45773
0.1	-21.619924	-21.800878	-21.43903
0.2	-21.597808	-21.775346	-21.42033
0.3	-21.575692	-21.749814	-21.40163
0.4	-21.553576	-21.724282	-21.38293
0.5	-21.53146	-21.69875	-21.36423
0.6	-21.509344	-21.673218	-21.34553
0.7	-21.487228	-21.647686	-21.32683
0.8	-21.465112	-21.622154	-21.30813
0.9	-21.442996	-21.596622	-21.28943
1	-21.42088	-21.57109	-21.27073
1.1	-21.398764	-21.545558	-21.25203
1.2	-21.376648	-21.520026	-21.23333
1.3	-21.354532	-21.494494	-21.21463
1.4	-21.332416	-21.468962	-21.19593
1.5	-21.3103	-21.44343	-21.17723
1.6	-21.288184	-21.417898	-21.15853
1.7	-21.266068	-21.392366	-21.13983
1.8	-21.243952	-21.366834	-21.12113
1.9	-21.221836	-21.341302	-21.10243
2	-21.19972	-21.31577	-21.08373
2.1	-21.177604	-21.290238	-21.06503
2.2	-21.155488	-21.264706	-21.04633
2.3	-21.133372	-21.239174	-21.02763
2.4	-21.111256	-21.213642	-21.00893
2.5	-21.08914	-21.18811	-20.99023
2.6	-21.067024	-21.162578	-20.97153
2.7	-21.044908	-21.137046	-20.95283
2.8	-21.022792	-21.111514	-20.93413
2.9	-21.000676	-21.085982	-20.91543
3	-20.97856	-21.06045	-20.89673
3.1	-20.956444	-21.034918	-20.87803
3.2	-20.934328	-21.009386	-20.85933
3.3	-20.912212	-20.983854	-20.84063
3.4	-20.890096	-20.958322	-20.82193
3.5	-20.86798	-20.93279	-20.80323
3.6	-20.845864	-20.907258	-20.78453
3.7	-20.823748	-20.881726	-20.76583
3.8	-20.801632	-20.856194	-20.74713
3.9	-20.779516	-20.830662	-20.72843
4	-20.7574	-20.80513	-20.70973
4.1	-20.735284	-20.779598	-20.69103
4.2	-20.713168	-20.754066	-20.67233
4.3	-20.691052	-20.728534	-20.65363
4.4	-20.668936	-20.703002	-20.63493
4.5	-20.64682	-20.67747	-20.61623
4.6	-20.624704	-20.651938	-20.59753
4.7	-20.602588	-20.626406	-20.57883
4.8	-20.580472	-20.600874	-20.56013
4.9	-20.558356	-20.575342	-20.54143
5	-20.53624	-20.54981	-20.52273
5.1	-20.514124	-20.524278	-20.50403
5.2	-20.492008	-20.498746	-20.48533
5.3	-20.469892	-20.473214	-20.46663
5.4	-20.447776	-20.447682	-20.44793
5.5	-20.42566	-20.42215	-20.42923
5.6	-20.403544	-20.396618	-20.41053
5.7	-20.381428	-20.371086	-20.39183
5.8	-20.359312	-20.345554	-20.37313
5.9	-20.337196	-20.320022	-20.35443
6	-20.31508	-20.29449	-20.33573
6.1	-20.292964	-20.268958	-20.31703
6.2	-20.270848	-20.243426	-20.29833
6.3	-20.248732	-20.217894	-20.27963
6.4	-20.226616	-20.192362	-20.26093
6.5	-20.2045	-20.16683	-20.24223
6.6	-20.182384	-20.141298	-20.22353
6.7	-20.160268	-20.115766	-20.20483
6.8	-20.138152	-20.090234	-20.18613
6.9	-20.116036	-20.064702	-20.16743
7	-20.09392	-20.03917	-20.14873
7.1	-20.071804	-20.013638	-20.13003
7.2	-20.049688	-19.988106	-20.11133
7.3	-20.027572	-19.962574	-20.09263
7.4	-20.005456	-19.937042	-20.07393
