#z	error z	phi*	 pos error phi*	neg error phi*	upper z	lower z	upper	lower
8	0	0.00059	0.00101	0.00037	8	8	0.0016	0.00022
8	0	0.0015	0.0029	0.001	8	8	0.0044	0.0005
2.3	0.4	0.00275	0.00054	0.00054	2.7	1.9	0.00329	0.00221
3.05	0.35	0.00171	0.00053	0.00053	3.4	2.7	0.00224	0.00118
7	0.5	0.0007	0	0	7.5	6.5	0.0007	0.0007
5	0.3	0.0009	0.0002	0.0002	5.3	4.7	0.0011	0.0007
6	0.3	0.0018	0 	0 	6.3	5.7	0.0018	0.0018
3.8	0	0.0011	0.0002	0.0002	3.8	3.8	0.0013	0.0009
5	0	0.0009	0.0003	0.0002	5	5	0.0012	0.0007
6.8	0	0.00086	0.0007	0.00039	6.8	6.8	0.00156	0.00047
3.8	0	0.0013	0.0002	0.0003	3.8	3.8	0.0015	0.001
5	0	0.001	0.0003	0.0003	5	5	0.0013	0.0007
5.9	0	0.0014	0.0006	0.0004	5.9	5.9	0.002	0.001

