z	best fit	lower limit	upper limit
25	0.00655801	0.00185267	0.0173782
24.9	0.00667259	0.00188512	0.017674
24.8	0.0067896	0.00191827	0.0179758
24.7	0.00690912	0.00195213	0.0182837
24.6	0.00703121	0.00198673	0.018598
24.5	0.00715592	0.00202207	0.0189187
24.4	0.00728333	0.00205819	0.019246
24.3	0.0074135	0.0020951	0.0195802
24.2	0.00754651	0.00213282	0.0199212
24.1	0.00768243	0.00217137	0.0202694
24	0.00782133	0.00221078	0.0206249
23.9	0.00796329	0.00225107	0.0209878
23.8	0.00810839	0.00229225	0.0213584
23.7	0.00825671	0.00233436	0.0217369
23.6	0.00840833	0.00237741	0.0221234
23.5	0.00856334	0.00242144	0.0225181
23.4	0.00872184	0.00246647	0.0229213
23.3	0.0088839	0.00251253	0.0233332
23.2	0.00904964	0.00255964	0.0237539
23.1	0.00921913	0.00260783	0.0241838
23	0.00939249	0.00265713	0.024623
22.9	0.00956982	0.00270758	0.0250718
22.8	0.00975123	0.0027592	0.0255305
22.7	0.00993682	0.00281203	0.0259992
22.6	0.0101267	0.0028661	0.0264783
22.5	0.010321	0.00292144	0.026968
22.4	0.0105199	0.00297809	0.0274687
22.3	0.0107234	0.00303609	0.0279805
22.2	0.0109317	0.00309547	0.0285038
22.1	0.0111449	0.00315627	0.029039
22	0.0113632	0.00321854	0.0295862
21.9	0.0115867	0.00328232	0.030146
21.8	0.0118155	0.00334764	0.0307185
21.7	0.0120498	0.00341456	0.0313041
21.6	0.0122898	0.00348312	0.0319032
21.5	0.0125356	0.00355336	0.0325162
21.4	0.0127874	0.00362534	0.0331434
21.3	0.0130453	0.0036991	0.0337853
21.2	0.0133096	0.00377471	0.0344421
21.1	0.0135804	0.00385221	0.0351145
21	0.0138579	0.00393166	0.0358028
20.9	0.0141423	0.00401312	0.0365074
20.8	0.0144338	0.00409664	0.0372288
20.7	0.0147326	0.0041823	0.0379675
20.6	0.0150389	0.00427015	0.0387239
20.5	0.0153529	0.00436026	0.0394987
20.4	0.015675	0.0044527	0.0402922
20.3	0.0160053	0.00454755	0.0411051
20.2	0.016344	0.00464487	0.041938
20.1	0.0166915	0.00474474	0.0427913
20	0.0170479	0.00484724	0.0436657
19.9	0.0174136	0.00495245	0.0445619
19.8	0.0177889	0.00506046	0.0454804
19.7	0.018174	0.00517136	0.046422
19.6	0.0185692	0.00528524	0.0473872
19.5	0.0189749	0.00540219	0.0483769
19.4	0.0193914	0.00552231	0.0493918
19.3	0.0198191	0.0056457	0.0504326
19.2	0.0202582	0.00577247	0.0515001
19.1	0.0207091	0.00590272	0.0525951
19	0.0211723	0.00603658	0.0537185
18.9	0.021648	0.00617415	0.0548712
18.8	0.0221368	0.00631557	0.056054
18.7	0.022639	0.00646095	0.0572679
18.6	0.0231551	0.00661043	0.0585139
18.5	0.0236855	0.00676415	0.059793
18.4	0.0242307	0.00692225	0.0611062
18.3	0.0247911	0.00708487	0.0624546
18.2	0.0253674	0.00725217	0.0638394
18.1	0.0259599	0.00742431	0.0652616
18	0.0265693	0.00760146	0.0667225
17.9	0.0271962	0.00778378	0.0682234
17.8	0.027841	0.00797146	0.0697656
17.7	0.0285045	0.00816467	0.0713503
17.6	0.0291871	0.00836363	0.072979
17.5	0.0298898	0.00856852	0.0746532
17.4	0.030613	0.00877956	0.0763743
17.3	0.0313575	0.00899696	0.078144
17.2	0.032124	0.00922096	0.0799638
